symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,t_statistic,composite_score,kelly_fraction,regime
DDOG,2022-06-27,2022-06-29,105.24,95.32,74,-734.05,-0.0943,2,stop_loss,2.0935,0.4829,0.08,NEUTRAL
NET,2022-06-27,2022-06-30,49.24,44.01,159,-831.81,-0.1062,3,stop_loss,1.9235,0.4437,0.08,NEUTRAL
AMZN,2022-06-28,2022-06-30,107.44,102.61,72,-347.53,-0.0449,2,stop_loss,4.7901,1.1048,0.08,NEUTRAL
AMZN,2022-06-30,2022-07-12,106.47,109.16,71,190.99,0.0253,7,stop_loss,2.2165,0.5112,0.08,NEUTRAL
SNOW,2022-07-05,2022-07-12,155.06,150.87,49,-205.51,-0.027,5,stop_loss,1.8152,0.4187,0.08,NEUTRAL
ORCL,2022-07-07,2022-07-13,71.87,69.65,106,-235.13,-0.0309,4,stop_loss,2.1179,0.4885,0.08,NEUTRAL
SHOP,2022-07-11,2022-07-25,32.34,36.44,154,632.03,0.1269,10,stop_loss,1.7836,0.4114,0.0521,NEUTRAL
AMD,2022-07-15,2022-07-25,81.16,85.96,93,446.59,0.0592,6,stop_loss,1.7111,0.3947,0.08,NEUTRAL
AMZN,2022-07-12,2022-07-26,109.3,118.62,69,643.0,0.0853,10,stop_loss,3.2608,0.7521,0.08,NEUTRAL
SHOP,2022-07-26,2022-08-09,31.57,37.51,244,1448.18,0.188,10,stop_loss,1.9584,0.4517,0.08,NEUTRAL
CCL,2022-08-05,2022-08-09,9.82,9.47,808,-283.6,-0.0357,2,stop_loss,1.8712,0.4316,0.08,NEUTRAL
COIN,2022-08-05,2022-08-09,93.05,87.13,85,-503.38,-0.0636,2,stop_loss,1.6663,0.3843,0.08,NEUTRAL
SHOP,2022-08-11,2022-08-18,40.45,36.06,193,-847.13,-0.1085,5,stop_loss,1.6731,0.3859,0.08,NEUTRAL
GOOGL,2022-07-27,2022-08-19,113.13,118.4,31,163.36,0.0466,17,stop_loss,1.7165,0.3959,0.0366,NEUTRAL
AMZN,2022-07-29,2022-08-19,135.07,138.71,57,207.32,0.0269,15,stop_loss,2.0048,0.4624,0.08,NEUTRAL
GOOGL,2022-08-19,2022-08-26,117.29,110.72,66,-433.32,-0.056,5,stop_loss,2.0252,0.4671,0.08,NEUTRAL
AMZN,2022-08-19,2022-08-30,138.28,127.8,56,-587.1,-0.0758,7,stop_loss,2.1878,0.5046,0.08,NEUTRAL
OXY,2022-08-22,2022-08-30,69.06,72.05,111,332.13,0.0433,6,stop_loss,1.7522,0.4041,0.08,NEUTRAL
